"PubSID","Code","Abbr","Name"
"0030007085","2720","MEDI","Hematology"
"0030007085","2730","MEDI","Oncology"
"0025734171","1306","BIOC","Cancer Research"
"0025734171","2730","MEDI","Oncology"
"0027323550","1303","BIOC","Biochemistry"
"0027323550","1307","BIOC","Cell Biology"
"0027323550","2403","IMMU","Immunology"
"0027323550","2720","MEDI","Hematology"
"0027302504","1306","BIOC","Cancer Research"
"0027302504","1804","DECI","Statistics, Probability and Uncertainty"
"0027302504","2604","MATH","Applied Mathematics"
"0027302504","2720","MEDI","Hematology"
"0027302504","2730","MEDI","Oncology"
"0027302504","2739","MEDI","Public Health, Environmental and Occupational Health"
"0027302504","3206","PSYC","Neuropsychology and Physiological Psychology"
"0032529509","1303","BIOC","Biochemistry"
"0032529509","1307","BIOC","Cell Biology"
"0032529509","2403","IMMU","Immunology"
"0032529509","2720","MEDI","Hematology"
"0032881934","2720","MEDI","Hematology"
"0027483579","1306","BIOC","Cancer Research"
"0027483579","2720","MEDI","Hematology"
"0028022841","1306","BIOC","Cancer Research"
"0028022841","2720","MEDI","Hematology"
"0032830965","2720","MEDI","Hematology"
"0030733897","2720","MEDI","Hematology"
"0035282055","1306","BIOC","Cancer Research"
"0035282055","2730","MEDI","Oncology"
"0031841742","2720","MEDI","Hematology"
"0034515054","2720","MEDI","Hematology"
"0030972725","1306","BIOC","Cancer Research"
"0030972725","2730","MEDI","Oncology"
"0031454435","2720","MEDI","Hematology"
"0032415158","1306","BIOC","Cancer Research"
"0032415158","2720","MEDI","Hematology"
"0032415158","2730","MEDI","Oncology"
"0034048789","1306","BIOC","Cancer Research"
"0034048789","2720","MEDI","Hematology"
"0034048789","2730","MEDI","Oncology"
"0029036444","1306","BIOC","Cancer Research"
"0029036444","2703","MEDI","Anesthesiology and Pain Medicine"
"0029036444","2720","MEDI","Hematology"
"0028357998","1306","BIOC","Cancer Research"
"0028357998","2730","MEDI","Oncology"
"0345471455","1306","BIOC","Cancer Research"
"0345471455","2730","MEDI","Oncology"
"0009355277","1306","BIOC","Cancer Research"
"0009355277","2730","MEDI","Oncology"
"0030983004","1306","BIOC","Cancer Research"
"0030983004","2730","MEDI","Oncology"
"0030775770","3004","PHAR","Pharmacology"
"0033406619","1306","BIOC","Cancer Research"
"0033406619","2720","MEDI","Hematology"
"0033406619","2730","MEDI","Oncology"
"0026350676","2720","MEDI","Hematology"
"6844258870","1306","BIOC","Cancer Research"
"6844258870","1311","BIOC","Genetics"
"6844258870","1312","BIOC","Molecular Biology"
"0032525111","2720","MEDI","Hematology"
"7844243243","2720","MEDI","Hematology"
"0028151443","1306","BIOC","Cancer Research"
"0028151443","2730","MEDI","Oncology"
"0027537357","2700","MEDI","Medicine (all)"
"0032535052","2720","MEDI","Hematology"
"0023428147","2720","MEDI","Hematology"
"0032856636","1306","BIOC","Cancer Research"
"0032856636","2720","MEDI","Hematology"
"0032856636","2730","MEDI","Oncology"
"0029783494","1306","BIOC","Cancer Research"
"0029783494","2720","MEDI","Hematology"
"0032941221","1306","BIOC","Cancer Research"
"0032941221","2730","MEDI","Oncology"
"0019205702","2720","MEDI","Hematology"
"0018830415","2403","IMMU","Immunology"
"0023764718","2700","MEDI","Medicine (all)"
"0028264370","2307","ENVI","Health, Toxicology and Mutagenesis"
"0028264370","2736","MEDI","Pharmacology (medical)"
"0028264370","3005","PHAR","Toxicology"
"0027283739","2720","MEDI","Hematology"
"0027200169","2720","MEDI","Hematology"
"0026645858","2700","MEDI","Medicine (all)"
"0024551346","1306","BIOC","Cancer Research"
"0024551346","2730","MEDI","Oncology"
"0344867044","1306","BIOC","Cancer Research"
"0344867044","2720","MEDI","Hematology"
"0345593600","1306","BIOC","Cancer Research"
"0345593600","2720","MEDI","Hematology"
"0345593600","2730","MEDI","Oncology"
"0023758320","2720","MEDI","Hematology"
"0030877290","1306","BIOC","Cancer Research"
"0030877290","2720","MEDI","Hematology"
"0030877290","2730","MEDI","Oncology"
"0030696074","1306","BIOC","Cancer Research"
"0030696074","2703","MEDI","Anesthesiology and Pain Medicine"
"0030696074","2720","MEDI","Hematology"
"0025816949","2700","MEDI","Medicine (all)"
"0030321441","2720","MEDI","Hematology"
"0035869381","2720","MEDI","Hematology"
"0030853063","2720","MEDI","Hematology"
"0035810147","2700","MEDI","Medicine (all)"
"0035810142","2700","MEDI","Medicine (all)"
"0036493694","1303","BIOC","Biochemistry"
"0036493694","1307","BIOC","Cell Biology"
"0036493694","2403","IMMU","Immunology"
"0036493694","2720","MEDI","Hematology"
"0035800507","1000","MULT","Multidisciplinary"
"0035800507","2700","MEDI","Medicine (all)"
"0037045589","2700","MEDI","Medicine (all)"
"0036493544","1303","BIOC","Biochemistry"
"0036493544","1307","BIOC","Cell Biology"
"0036493544","2403","IMMU","Immunology"
"0036493544","2720","MEDI","Hematology"
