auth_sid,full_name,last_name,first_name,last_first_initial,doc_count_test,doc_count_total,auth_rrbr,auth_pir
7003327147,lamparelli teresa,lamparelli,teresa,lamparelli t,7,75,0.0933333333333333,30
7003328020,arcaini luca,arcaini,luca,arcaini l,1,147,0.00680272108843537,2
7003329215,vogler larry b.,vogler,larry b,vogler l,1,24,0.0416666666666667,1
7003329452,dunnick wesley a.,dunnick,wesley a,dunnick w,2,24,0.0833333333333333,12
7003329508,uejima hiroshi,uejima,hiroshi,uejima h,1,14,0.0714285714285714,1
7003329778,graeven ullrich,graeven,ullrich,graeven u,1,80,0.0125,9
7003331832,tabbara imad a.,tabbara,imad a,tabbara i,1,32,0.03125,3
7003331921,caspar clemens b.,caspar,clemens b,caspar c,2,19,0.105263157894737,8
7003332131,coustan-smith elaine,coustan-smith,elaine,coustan-smith e,1,87,0.0114942528735632,2
7003332471,kotts claire e.,kotts,claire e,kotts c,3,4,0.75,4
7003333118,guerriero anastasia,guerriero,anastasia,guerriero a,1,6,0.166666666666667,15
7003333663,novakovitch gisèle,novakovitch,gisèle,novakovitch g,2,27,0.0740740740740741,7
7003334224,sibanda bancinyane lynn,sibanda,bancinyane lynn,sibanda b,1,12,0.0833333333333333,30
7003337453,normansell david e.,normansell,david e,normansell d,1,2,0.5,7
7003337635,schiffman kathy s.,schiffman,kathy s,schiffman k,1,34,0.0294117647058824,1
7003337805,leprini arnaldo e g,leprini,arnaldo e g,leprini a,1,1,1,1
7003337808,leprini alessandra,leprini,alessandra,leprini a,1,11,0.0909090909090909,1
7003339359,soddu silvia,soddu,silvia,soddu s,1,98,0.0102040816326531,2
7003340337,schilder russell j.,schilder,russell j,schilder r,2,68,0.0294117647058824,15
7003341242,lević zvonimir m.,lević,zvonimir m,lević z,2,34,0.0588235294117647,4
7003341315,simonin gilbert,simonin,gilbert,simonin g,1,25,0.04,2
7003342182,vela emili,vela,emili,vela e,1,36,0.0277777777777778,14
7003344754,leavitt pearl r.,leavitt,pearl r,leavitt p,1,2,0.5,69
7003345296,meshorer asher,meshorer,asher,meshorer a,1,14,0.0714285714285714,81
7003346218,dinota angelo,dinota,angelo,dinota a,3,12,0.25,4
7003348058,thuret isabelle,thuret,isabelle,thuret i,2,96,0.0208333333333333,3
7003348122,ferradini laurent,ferradini,laurent,ferradini l,1,13,0.0769230769230769,18
7003348222,winkelhake jeffrey l.,winkelhake,jeffrey l,winkelhake j,1,5,0.2,5
7003349003,mural richard j.,mural,richard j,mural r,1,36,0.0277777777777778,1
7003349235,athanasiou maria c.,athanasiou,maria c,athanasiou m,1,20,0.05,1
7003350289,kearney annabel,kearney,annabel,kearney a,1,1,1,1
7003353939,napoli kimberly l.,napoli,kimberly l,napoli k,1,37,0.027027027027027,3
7003354397,terenzi adelmo,terenzi,adelmo,terenzi a,5,38,0.131578947368421,29
7003354857,de alarcón pedro de de,de alarcón,pedro de de,de alarcón p,1,56,0.0178571428571429,1
7003357473,pussell bruce a.,pussell,bruce a,pussell b,1,40,0.025,1
7003358775,glassy mark c.,glassy,mark c,glassy m,1,28,0.0357142857142857,1
