eid_set_B_citing	eid_set_C_cited	cited_is_in_B	cited_is_in_A
4750551	2554960	1	0
4750551	8366410	1	0
4750551	8370435	1	0
4750551	17168833	1	0
4750551	18135382	1	0
4750551	21185326	1	0
4750551	23024367	1	0
4750551	23144846	1	0
4750551	23713269	1	0
4750551	24313987	1	0
4750551	25195938	1	0
4750551	25302635	1	0
4750551	25332717	1	0
4750551	26072735	1	0
4750551	26090387	1	0
4750551	26492990	1	0
4750551	26578689	1	0
4750551	26585838	1	0
4750551	26680301	1	0
4750551	26697923	1	0
4750551	26727718	1	0
4750551	27144129	1	0
4750551	27546340	1	0
4750551	27750894	1	0
4750551	27933799	1	0
4750551	27964803	1	0
4750551	28054299	1	0
4750551	28341191	1	0
4750551	28810205	1	0
4750551	28866838	1	0
4750551	28908094	1	0
4750551	28922943	1	0
4750551	29078582	1	0
4750551	29586037	1	0
4750551	29619074	1	0
4750551	29790008	1	0
4750551	29813875	1	0
4750551	29834239	1	0
4750551	29853218	1	0
4750551	29874202	1	0
4750551	29934389	1	0
4750551	29953246	1	0
4750551	30317948	1	0
4750551	30610376	1	0
4750551	30746019	1	0
4750551	30861626	1	0
4750551	30915224	1	0
4750551	30985931	1	0
4750551	31022366	1	0
4750551	31203621	1	0
4750551	31886471	1	0
4750551	31919292	1	0
4750551	32860889	1	0
4750551	32898875	1	0
4750551	32915459	1	0
4750551	32932342	1	0
4750551	33512274	1	0
4750551	33577484	1	0
4750551	33602514	1	0
4750551	15844427401	1	0
4880266	26738641	1	0
4880266	27284230	1	0
4880266	27360332	1	0
4880266	27964431	1	0
4880266	28484545	1	0
4880266	28867420	1	0
4880266	28882526	1	1
4880266	28903939	1	1
4880266	29122983	1	0
4880266	29162602	1	0
4880266	29944533	1	0
4880266	29983837	1	0
4880266	30046808	1	0
4880266	30474264	1	0
4880266	30966217	1	0
4880266	31027528	1	0
4880266	31203940	1	0
4880266	32103285	1	1
4880266	32544067	1	0
4880266	12644262358	1	1
4880266	15844404353	1	1
5040904	3437043	1	0
5040904	23270428	1	0
5040904	23867360	1	0
5040904	25884494	1	0
5040904	25907179	1	0
5040904	26586008	1	0
5040904	26650021	1	0
5040904	27941369	1	0
5040904	29807625	1	1
5049204	1563869	1	0
5049204	3108119	1	0
5049204	3548179	1	0
5049204	16700864	1	1
5049204	19423594	1	0
5049204	19447928	1	0
5049204	20037329	1	0
5049204	20512006	1	0
5049204	21144642	1	0
5049204	23105238	1	0
5049204	23707397	1	0
5049204	24044732	1	0
5049204	24284028	1	1
5049204	24318576	1	1
5049204	24373031	1	0
5049204	25029229	1	0
5049204	25258198	1	0
5049204	25302420	1	0
5049204	25836326	1	0
5049204	25904469	1	0
5049204	25942999	1	0
5049204	25951144	1	0
5049204	26627872	1	0
5049204	26734889	1	0
5049204	27241955	1	0
5049204	27362582	1	0
5049204	27422990	1	0
5049204	27482769	1	0
5049204	27488805	1	0
5049204	27491651	1	0
5049204	27497022	1	0
5049204	27511904	1	0
5049204	28031704	1	0
5049204	28064764	1	1
5049204	28104979	1	0
5049204	28225791	1	0
5049204	28229421	1	0
5049204	28270019	1	0
5049204	28273438	1	1
5049204	28275741	1	0
5049204	28288455	1	0
5049204	28928467	1	0
5049204	28961423	1	0
5049204	28972016	1	0
5049204	29026932	1	0
5049204	29133017	1	0
5049204	142233513	1	0
5229135	1529751	1	1
5229135	3785155	1	0
5229135	3861692	1	0
5229135	14019617	1	0
5229135	17222053	1	0
5229135	18257739	1	0
5229135	23052239	1	0
5229135	23161406	1	0
5229135	23604840	1	0
5229135	23634094	1	0
5229135	23781763	1	0
5229135	23821895	1	0
5229135	25179011	1	0
5229135	25226085	1	1
5229135	25254304	1	0
5229135	25358376	1	0
5229135	25856601	1	0
5229135	25978976	1	1
5229135	26045194	1	0
5229135	26055806	1	0
5229135	26060620	1	0
5229135	26317443	1	1
5229135	26331458	1	0
5229135	26559783	1	1
5229135	26692598	1	0
5229135	26699293	1	0
5229135	27491651	1	0
5229135	27768856	1	0
5229135	27962758	1	0
5229135	28291823	1	0
5229135	28338333	1	0
5229135	29030027	1	0
