"source","stype","target","ttype"
"alemtuzumab","root","11588025","pmid1"
"alemtuzumab","root","11685123","pmid1"
"alemtuzumab","root","11773171","pmid1"
"alemtuzumab","root","12685828","pmid1"
"alemtuzumab","root","11807015","pmid1"
"alemtuzumab","root","11792397","pmid1"
"alemtuzumab","root","11895797","pmid1"
"alemtuzumab","root","11807632","pmid1"
"alemtuzumab","root","11986207","pmid1"
"alemtuzumab","root","10071016","pmid1"
"alemtuzumab","root","10545997","pmid1"
"alemtuzumab","root","9593789","pmid1"
"alemtuzumab","root","10458242","pmid1"
"alemtuzumab","root","10214856","pmid1"
"alemtuzumab","root","10221490","pmid1"
"alemtuzumab","root","9704735","pmid1"
"alemtuzumab","root","10093687","pmid1"
"alemtuzumab","root","10350343","pmid1"
"alemtuzumab","root","13875840","pmid1"
"alemtuzumab","root","9310469","pmid1"
"alemtuzumab","root","9488043","pmid1"
"alemtuzumab","root","9827924","pmid1"
"alemtuzumab","root","8683227","pmid1"
"alemtuzumab","root","8616860","pmid1"
"alemtuzumab","root","8864449","pmid1"
"alemtuzumab","root","8790160","pmid1"
"alemtuzumab","root","8896434","pmid1"
"alemtuzumab","root","8943876","pmid1"
"alemtuzumab","root","8932845","pmid1"
"alemtuzumab","root","9238056","pmid1"
"alemtuzumab","root","8676625","pmid1"
"alemtuzumab","root","8605372","pmid1"
"alemtuzumab","root","9000652","pmid1"
"alemtuzumab","root","9336364","pmid1"
"alemtuzumab","root","9707017","pmid1"
"alemtuzumab","root","12171727","pmid1"
"alemtuzumab","root","10845940","pmid1"
"alemtuzumab","root","7907762","pmid1"
"alemtuzumab","root","13936775","pmid1"
"alemtuzumab","root","13391513","pmid1"
