"","source","stype","target","ttype"
"354","alemtuzumab","root","8094189","pmid1"
"355","alemtuzumab","root","8448560","pmid1"
"356","alemtuzumab","root","8448531","pmid1"
"357","alemtuzumab","root","8124250","pmid1"
"358","alemtuzumab","root","1384718","pmid1"
"359","alemtuzumab","root","1391938","pmid1"
"360","alemtuzumab","root","1356177","pmid1"
"361","alemtuzumab","root","1635559","pmid1"
"362","alemtuzumab","root","1390211","pmid1"
"363","alemtuzumab","root","1352921","pmid1"
"364","alemtuzumab","root","1600413","pmid1"
"365","alemtuzumab","root","1581219","pmid1"
"366","alemtuzumab","root","1543952","pmid1"
"367","alemtuzumab","root","1504665","pmid1"
"368","alemtuzumab","root","1438436","pmid1"
"369","alemtuzumab","root","1339322","pmid1"
"370","alemtuzumab","root","1787497","pmid1"
"371","alemtuzumab","root","1908152","pmid1"
"372","alemtuzumab","root","1799264","pmid1"
"373","alemtuzumab","root","1711975","pmid1"
"374","alemtuzumab","root","1903536","pmid1"
"375","alemtuzumab","root","2070132","pmid1"
"376","alemtuzumab","root","1985691","pmid1"
"377","alemtuzumab","root","27464246","pmid1"
"378","alemtuzumab","root","2043872","pmid1"
"379","alemtuzumab","root","1998598","pmid1"
"380","alemtuzumab","root","1878698","pmid1"
"381","alemtuzumab","root","1675214","pmid1"
"382","alemtuzumab","root","1367214","pmid1"
"383","alemtuzumab","root","2238056","pmid1"
"384","alemtuzumab","root","2104246","pmid1"
"385","alemtuzumab","root","2338131","pmid1"
"386","alemtuzumab","root","2323363","pmid1"
"387","alemtuzumab","root","2328322","pmid1"
"388","alemtuzumab","root","2337682","pmid1"
"389","alemtuzumab","root","2346286","pmid1"
"390","alemtuzumab","root","2184907","pmid1"
"391","alemtuzumab","root","2180151","pmid1"
"392","alemtuzumab","root","2165283","pmid1"
"393","alemtuzumab","root","2138367","pmid1"
"394","alemtuzumab","root","27463993","pmid1"
"395","alemtuzumab","root","27456733","pmid1"
"396","alemtuzumab","root","2308978","pmid1"
"397","alemtuzumab","root","1713884","pmid1"
"398","alemtuzumab","root","2692692","pmid1"
"399","alemtuzumab","root","2790337","pmid1"
"400","alemtuzumab","root","2667209","pmid1"
"401","alemtuzumab","root","2671531","pmid1"
"402","alemtuzumab","root","2660360","pmid1"
"403","alemtuzumab","root","2786388","pmid1"
"404","alemtuzumab","root","2713487","pmid1"
"405","alemtuzumab","root","2661437","pmid1"
"406","alemtuzumab","root","2910352","pmid1"
"407","alemtuzumab","root","2784335","pmid1"
"408","alemtuzumab","root","2562939","pmid1"
"409","alemtuzumab","root","2480280","pmid1"
"410","alemtuzumab","root","2472335","pmid1"
"411","alemtuzumab","root","2904526","pmid1"
"412","alemtuzumab","root","3067007","pmid1"
"413","alemtuzumab","root","2973413","pmid1"
"414","alemtuzumab","root","3263310","pmid1"
"415","alemtuzumab","root","3291930","pmid1"
"416","alemtuzumab","root","3048491","pmid1"
"417","alemtuzumab","root","3048490","pmid1"
"418","alemtuzumab","root","3282358","pmid1"
"419","alemtuzumab","root","2452479","pmid1"
"420","alemtuzumab","root","3043753","pmid1"
"421","alemtuzumab","root","3278419","pmid1"
"422","alemtuzumab","root","3257510","pmid1"
"423","alemtuzumab","root","3260131","pmid1"
"424","alemtuzumab","root","3122385","pmid1"
"425","alemtuzumab","root","3061978","pmid1"
"426","alemtuzumab","root","3332190","pmid1"
"427","alemtuzumab","root","3655386","pmid1"
"428","alemtuzumab","root","3609184","pmid1"
"429","alemtuzumab","root","3623632","pmid1"
"430","alemtuzumab","root","2953090","pmid1"
"431","alemtuzumab","root","3548798","pmid1"
"432","alemtuzumab","root","3545877","pmid1"
"433","alemtuzumab","root","2879121","pmid1"
"434","alemtuzumab","root","3501389","pmid1"
"435","alemtuzumab","root","3500899","pmid1"
"436","alemtuzumab","root","3331647","pmid1"
"437","alemtuzumab","root","3304736","pmid1"
"438","alemtuzumab","root","2878268","pmid1"
"439","alemtuzumab","root","2878219","pmid1"
"440","alemtuzumab","root","3492041","pmid1"
"441","alemtuzumab","root","3543275","pmid1"
"442","alemtuzumab","root","3539172","pmid1"
"443","alemtuzumab","root","3538379","pmid1"
"444","alemtuzumab","root","3096200","pmid1"
"445","alemtuzumab","root","3531347","pmid1"
"446","alemtuzumab","root","3529531","pmid1"
"447","alemtuzumab","root","3096824","pmid1"
"448","alemtuzumab","root","3332120","pmid1"
"449","alemtuzumab","root","3528046","pmid1"
"450","alemtuzumab","root","3513818","pmid1"
"451","alemtuzumab","root","2867383","pmid1"
"452","alemtuzumab","root","3540463","pmid1"
"453","alemtuzumab","root","3909387","pmid1"
"454","alemtuzumab","root","3909385","pmid1"
"455","alemtuzumab","root","3890929","pmid1"
"456","alemtuzumab","root","3901694","pmid1"
"457","alemtuzumab","root","3901693","pmid1"
"458","alemtuzumab","root","6147548","pmid1"
"459","alemtuzumab","root","6438435","pmid1"
"460","alemtuzumab","root","6349718","pmid1"
"461","alemtuzumab","root","13837954","pmid1"
"462","alemtuzumab","root","13099277","pmid1"
"463","alemtuzumab","root","4894426","pmid1"
"464","alemtuzumab","root","4325096","pmid1"
"465","alemtuzumab","root","1139039","pmid1"
"466","alemtuzumab","root","1172191","pmid1"
"467","alemtuzumab","root","766892","pmid1"
"468","alemtuzumab","root","322854","pmid1"
"469","alemtuzumab","root","350045","pmid1"
"470","alemtuzumab","root","82836","pmid1"
"471","alemtuzumab","root","505093","pmid1"
"472","alemtuzumab","root","6157721","pmid1"
"473","alemtuzumab","root","7427932","pmid1"
"474","alemtuzumab","root","6969092","pmid1"
"475","alemtuzumab","root","7237385","pmid1"
"476","alemtuzumab","root","6173751","pmid1"
"477","alemtuzumab","root","6349718","pmid1"
"478","alemtuzumab","root","6438435","pmid1"
"479","alemtuzumab","root","6482933","pmid1"
"480","alemtuzumab","root","6147548","pmid1"
"481","alemtuzumab","root","6377608","pmid1"
"482","alemtuzumab","root","6609729","pmid1"
"483","alemtuzumab","root","3871353","pmid1"
"484","alemtuzumab","root","3529524","pmid1"
"485","alemtuzumab","root","3529531","pmid1"
"486","alemtuzumab","root","3513818","pmid1"
"487","alemtuzumab","root","3332120","pmid1"
"488","alemtuzumab","root","3304736","pmid1"
"489","alemtuzumab","root","3296349","pmid1"
"490","alemtuzumab","root","3317855","pmid1"
"491","alemtuzumab","root","3655386","pmid1"
"492","alemtuzumab","root","2901280","pmid1"
"493","alemtuzumab","root","2901668","pmid1"
"494","alemtuzumab","root","3050711","pmid1"
"495","alemtuzumab","root","3278419","pmid1"
"496","alemtuzumab","root","3127726","pmid1"
"497","alemtuzumab","root","3291930","pmid1"
"498","alemtuzumab","root","2833957","pmid1"
"499","alemtuzumab","root","2904526","pmid1"
"500","alemtuzumab","root","2661437","pmid1"
"501","alemtuzumab","root","2667754","pmid1"
"502","alemtuzumab","root","2784491","pmid1"
"503","alemtuzumab","root","2713487","pmid1"
"504","alemtuzumab","root","2297567","pmid1"
"505","alemtuzumab","root","2180151","pmid1"
"506","alemtuzumab","root","2165283","pmid1"
"507","alemtuzumab","root","2099402","pmid1"
"508","alemtuzumab","root","1714949","pmid1"
"509","alemtuzumab","root","1904989","pmid1"
"510","alemtuzumab","root","2024863","pmid1"
"511","alemtuzumab","root","2070147","pmid1"
"512","alemtuzumab","root","1715244","pmid1"
"513","alemtuzumab","root","1742486","pmid1"
"514","alemtuzumab","root","1370636","pmid1"
"515","alemtuzumab","root","1354425","pmid1"
"516","alemtuzumab","root","1498329","pmid1"
"517","alemtuzumab","root","1644158","pmid1"
"518","alemtuzumab","root","1406793","pmid1"
"519","alemtuzumab","root","8099991","pmid1"
"520","alemtuzumab","root","7688956","pmid1"
"521","alemtuzumab","root","8499626","pmid1"
"522","alemtuzumab","root","7687326","pmid1"
"523","alemtuzumab","root","8324942","pmid1"
"524","alemtuzumab","root","7687895","pmid1"
"525","alemtuzumab","root","7686506","pmid1"
"526","alemtuzumab","root","8366859","pmid1"
"527","alemtuzumab","root","8353071","pmid1"
"528","alemtuzumab","root","8400226","pmid1"
"529","alemtuzumab","root","8211209","pmid1"
"530","alemtuzumab","root","8228826","pmid1"
"531","alemtuzumab","root","7685389","pmid1"
"532","alemtuzumab","root","8450856","pmid1"
"533","alemtuzumab","root","7680398","pmid1"
"534","alemtuzumab","root","7692295","pmid1"
"535","alemtuzumab","root","8235691","pmid1"
"536","alemtuzumab","root","8485477","pmid1"
"537","alemtuzumab","root","8094189","pmid1"
"538","alemtuzumab","root","7922004","pmid1"
"539","alemtuzumab","root","8057664","pmid1"
"540","alemtuzumab","root","7506951","pmid1"
"541","alemtuzumab","root","7524522","pmid1"
"542","alemtuzumab","root","7989933","pmid1"
"543","alemtuzumab","root","8054913","pmid1"
"544","alemtuzumab","root","8197602","pmid1"
"545","alemtuzumab","root","7525186","pmid1"
"546","alemtuzumab","root","7920312","pmid1"
"547","alemtuzumab","root","8069190","pmid1"
"548","alemtuzumab","root","8049645","pmid1"
"549","alemtuzumab","root","8120556","pmid1"
"550","alemtuzumab","root","7809937","pmid1"
"551","alemtuzumab","root","7540098","pmid1"
"552","alemtuzumab","root","7879212","pmid1"
"553","alemtuzumab","root","8587293","pmid1"
"554","alemtuzumab","root","7879054","pmid1"
"555","alemtuzumab","root","7488279","pmid1"
"556","alemtuzumab","root","7579468","pmid1"
"557","alemtuzumab","root","8588237","pmid1"
"558","alemtuzumab","root","7584950","pmid1"
"559","alemtuzumab","root","7536798","pmid1"
"560","alemtuzumab","root","7890742","pmid1"
"561","alemtuzumab","root","7734348","pmid1"
"562","alemtuzumab","root","7771465","pmid1"
"563","alemtuzumab","root","7596181","pmid1"
"564","alemtuzumab","root","7723546","pmid1"
"565","alemtuzumab","root","7781137","pmid1"
"566","alemtuzumab","root","8528057","pmid1"
"567","alemtuzumab","root","7666104","pmid1"
"568","alemtuzumab","root","7575719","pmid1"
"569","alemtuzumab","root","9552353","pmid1"
"570","alemtuzumab","root","8751471","pmid1"
"571","alemtuzumab","root","8962411","pmid1"
"572","alemtuzumab","root","8962412","pmid1"
"573","alemtuzumab","root","8624684","pmid1"
"574","alemtuzumab","root","8620297","pmid1"
"575","alemtuzumab","root","8977262","pmid1"
"576","alemtuzumab","root","8630428","pmid1"
"577","alemtuzumab","root","8704678","pmid1"
"578","alemtuzumab","root","8611450","pmid1"
"579","alemtuzumab","root","8733704","pmid1"
"580","alemtuzumab","root","8971469","pmid1"
"581","alemtuzumab","root","8652811","pmid1"
"582","alemtuzumab","root","9172812","pmid1"
"583","alemtuzumab","root","8546551","pmid1"
"584","alemtuzumab","root","9238677","pmid1"
"585","alemtuzumab","root","9049965","pmid1"
"586","alemtuzumab","root","8641639","pmid1"
"587","alemtuzumab","root","8981930","pmid1"
"588","alemtuzumab","root","8970605","pmid1"
"589","alemtuzumab","root","8918281","pmid1"
"590","alemtuzumab","root","9355822","pmid1"
"591","alemtuzumab","root","9324281","pmid1"
"592","alemtuzumab","root","9414645","pmid1"
"593","alemtuzumab","root","9351970","pmid1"
"594","alemtuzumab","root","10851464","pmid1"
"595","alemtuzumab","root","9215839","pmid1"
"596","alemtuzumab","root","9250818","pmid1"
"597","alemtuzumab","root","9250791","pmid1"
"598","alemtuzumab","root","9193354","pmid1"
"599","alemtuzumab","root","9177426","pmid1"
"600","alemtuzumab","root","9145041","pmid1"
"601","alemtuzumab","root","9192777","pmid1"
"602","alemtuzumab","root","9178837","pmid1"
"603","alemtuzumab","root","9195505","pmid1"
"604","alemtuzumab","root","9207420","pmid1"
"605","alemtuzumab","root","9209669","pmid1"
"606","alemtuzumab","root","9122943","pmid1"
"607","alemtuzumab","root","9108450","pmid1"
